codigo_comuna,comuna_residencia,codigo_region,region_residencia,Fase Comuna
15101,Arica,15,Arica y Parinacota,2
15102,Camarones,15,Arica y Parinacota,4
15202,General Lagos,15,Arica y Parinacota,4
15201,Putre,15,Arica y Parinacota,3
1107,Alto Hospicio,1,Tarapacá,2
1402,Camiña,1,Tarapacá,2
1403,Colchane,1,Tarapacá,4
1404,Huara,1,Tarapacá,3
1101,Iquique,1,Tarapacá,2
1405,Pica,1,Tarapacá,2
1401,Pozo Almonte,1,Tarapacá,3
2101,Antofagasta,2,Antofagasta,3
2201,Calama,2,Antofagasta,2
2302,María Elena,2,Antofagasta,2
2102,Mejillones,2,Antofagasta,3
2202,Ollagüe,2,Antofagasta,4
2203,San Pedro de Atacama,2,Antofagasta,3
2103,Sierra Gorda,2,Antofagasta,3
2104,Taltal,2,Antofagasta,3
2301,Tocopilla,2,Antofagasta,3
3302,Alto del Carmen,3,Atacama,2
3102,Caldera,3,Atacama,2
3201,Chañaral,3,Atacama,3
3101,Copiapó,3,Atacama,2
3202,Diego de Almagro,3,Atacama,1
3303,Freirina,3,Atacama,2
3304,Huasco,3,Atacama,2
3103,Tierra Amarilla,3,Atacama,2
3301,Vallenar,3,Atacama,1
4103,Andacollo,4,Coquimbo,3
4202,Canela,4,Coquimbo,3
4302,Combarbalá,4,Coquimbo,1
4102,Coquimbo,4,Coquimbo,2
4201,Illapel,4,Coquimbo,1
4104,La Higuera,4,Coquimbo,2
4101,La Serena,4,Coquimbo,2
4203,Los Vilos,4,Coquimbo,2
4303,Monte Patria,4,Coquimbo,2
4301,Ovalle,4,Coquimbo,1
4105,Paiguano,4,Coquimbo,1
4304,Punitaqui,4,Coquimbo,1
4305,Río Hurtado,4,Coquimbo,3
4204,Salamanca,4,Coquimbo,1
4106,Vicuña,4,Coquimbo,1
5602,Algarrobo,5,Valparaíso,2
5402,Cabildo,5,Valparaíso,2
5502,Calera,5,Valparaíso,1
5302,Calle Larga,5,Valparaíso,1
5603,Cartagena,5,Valparaíso,1
5102,Casablanca,5,Valparaíso,1
5702,Catemu,5,Valparaíso,2
5103,Concón,5,Valparaíso,2
5604,El Quisco,5,Valparaíso,1
5605,El Tabo,5,Valparaíso,1
5503,Hijuelas,5,Valparaíso,2
5201,Isla de Pascua,5,Valparaíso,4
5104,Juan Fernández,5,Valparaíso,4
5504,La Cruz,5,Valparaíso,2
5401,La Ligua,5,Valparaíso,1
5802,Limache,5,Valparaíso,2
5703,Llaillay,5,Valparaíso,1
5301,Los Andes,5,Valparaíso,1
5506,Nogales,5,Valparaíso,1
5803,Olmué,5,Valparaíso,2
5704,Panquehue,5,Valparaíso,2
5403,Papudo,5,Valparaíso,3
5404,Petorca,5,Valparaíso,2
5105,Puchuncaví,5,Valparaíso,1
5705,Putaendo,5,Valparaíso,1
5501,Quillota,5,Valparaíso,2
5801,Quilpué,5,Valparaíso,2
5107,Quintero,5,Valparaíso,2
5303,Rinconada,5,Valparaíso,1
5601,San Antonio,5,Valparaíso,1
5304,San Esteban,5,Valparaíso,1
5701,San Felipe,5,Valparaíso,1
5706,Santa Maria,5,Valparaíso,1
5606,Santo Domingo,5,Valparaíso,2
5101,Valparaiso,5,Valparaíso,2
5804,Villa Alemana,5,Valparaíso,2
5109,Viña del Mar,5,Valparaíso,2
5405,Zapallar,5,Valparaíso,2
13502,Alhué,13,Metropolitana,2
13402,Buin,13,Metropolitana,1
13403,Calera de Tango,13,Metropolitana,2
13102,Cerrillos,13,Metropolitana,1
13103,Cerro Navia,13,Metropolitana,2
13301,Colina,13,Metropolitana,1
13104,Conchalí,13,Metropolitana,1
13503,Curacaví,13,Metropolitana,1
13105,El Bosque,13,Metropolitana,2
13602,El Monte,13,Metropolitana,2
13106,Estación Central,13,Metropolitana,2
13107,Huechuraba,13,Metropolitana,1
13108,Independencia,13,Metropolitana,1
13603,Isla de Maipo,13,Metropolitana,2
13109,La Cisterna,13,Metropolitana,2
13110,La Florida,13,Metropolitana,2
13111,La Granja,13,Metropolitana,2
13112,La Pintana,13,Metropolitana,2
13113,La Reina,13,Metropolitana,2
13302,Lampa,13,Metropolitana,1
13114,Las Condes,13,Metropolitana,2
13115,Lo Barnechea,13,Metropolitana,2
13116,Lo Espejo,13,Metropolitana,2
13117,Lo Prado,13,Metropolitana,2
13118,Macul,13,Metropolitana,1
13119,Maipú,13,Metropolitana,1
13504,María Pinto,13,Metropolitana,1
13501,Melipilla,13,Metropolitana,1
13120,Ñuñoa,13,Metropolitana,2
13604,Padre Hurtado,13,Metropolitana,2
13404,Paine,13,Metropolitana,1
13121,Pedro Aguirre Cerda,13,Metropolitana,2
13605,Peñaflor,13,Metropolitana,2
13122,Peñalolén,13,Metropolitana,2
13202,Pirque,13,Metropolitana,2
13123,Providencia,13,Metropolitana,2
13124,Pudahuel,13,Metropolitana,2
13201,Puente Alto,13,Metropolitana,2
13125,Quilicura,13,Metropolitana,1
13126,Quinta Normal,13,Metropolitana,2
13127,Recoleta,13,Metropolitana,1
13128,Renca,13,Metropolitana,2
13401,San Bernardo,13,Metropolitana,2
13129,San Joaquín,13,Metropolitana,2
13203,San José de Maipo,13,Metropolitana,1
13130,San Miguel,13,Metropolitana,2
13505,San Pedro,13,Metropolitana,2
13131,San Ramón,13,Metropolitana,2
13101,Santiago,13,Metropolitana,1
13601,Talagante,13,Metropolitana,2
13303,Tiltil,13,Metropolitana,1
13132,Vitacura,13,Metropolitana,2
6302,Chépica,6,O’Higgins,1
6303,Chimbarongo,6,O’Higgins,2
6102,Codegua,6,O’Higgins,1
6103,Coinco,6,O’Higgins,2
6104,Coltauco,6,O’Higgins,3
6105,Doñihue,6,O’Higgins,2
6106,Graneros,6,O’Higgins,1
6202,La Estrella,6,O’Higgins,3
6107,Las Cabras,6,O’Higgins,2
6203,Litueche,6,O’Higgins,2
6304,Lolol,6,O’Higgins,3
6108,Machalí,6,O’Higgins,1
6109,Malloa,6,O’Higgins,2
6204,Marchihue,6,O’Higgins,2
6110,Mostazal,6,O’Higgins,1
6305,Nancagua,6,O’Higgins,3
6205,Navidad,6,O’Higgins,1
6111,Olivar,6,O’Higgins,1
6306,Palmilla,6,O’Higgins,3
6206,Paredones,6,O’Higgins,2
6307,Peralillo,6,O’Higgins,3
6112,Peumo,6,O’Higgins,1
6113,Pichidegua,6,O’Higgins,1
6201,Pichilemu,6,O’Higgins,2
6308,Placilla,6,O’Higgins,2
6309,Pumanque,6,O’Higgins,2
6114,Quinta de Tilcoco,6,O’Higgins,2
6101,Rancagua,6,O’Higgins,1
6115,Rengo,6,O’Higgins,1
6116,Requínoa,6,O’Higgins,2
6301,San Fernando,6,O’Higgins,2
6117,San Vicente,6,O’Higgins,2
6310,Santa Cruz,6,O’Higgins,2
7201,Cauquenes,7,Maule,2
7202,Chanco,7,Maule,3
7402,Colbún,7,Maule,1
7102,Constitución,7,Maule,2
7103,Curepto,7,Maule,1
7301,Curicó,7,Maule,2
7104,Empedrado,7,Maule,3
7302,Hualañé,7,Maule,2
7303,Licantén,7,Maule,3
7401,Linares,7,Maule,2
7403,Longaví,7,Maule,1
7105,Maule,7,Maule,2
7304,Molina,7,Maule,2
7404,Parral,7,Maule,1
7106,Pelarco,7,Maule,1
7203,Pelluhue,7,Maule,2
7107,Pencahue,7,Maule,1
7305,Rauco,7,Maule,2
7405,Retiro,7,Maule,1
7108,Río Claro,7,Maule,3
7306,Romeral,7,Maule,2
7307,Sagrada Familia,7,Maule,2
7109,San Clemente,7,Maule,1
7406,San Javier,7,Maule,2
7110,San Rafael,7,Maule,1
7101,Talca,7,Maule,2
7308,Teno,7,Maule,1
7309,Vichuquén,7,Maule,2
7407,Villa Alegre,7,Maule,1
7408,Yerbas Buenas,7,Maule,1
16102,Bulnes,16,Ñuble,2
16101,Chillán,16,Ñuble,2
16103,Chillán Viejo,16,Ñuble,2
16202,Cobquecura,16,Ñuble,3
16203,Coelemu,16,Ñuble,3
16302,Coihueco,16,Ñuble,1
16104,El Carmen,16,Ñuble,3
16204,Ninhue,16,Ñuble,1
16303,Ñiquén,16,Ñuble,2
16105,Pemuco,16,Ñuble,2
16106,Pinto,16,Ñuble,3
16205,Portezuelo,16,Ñuble,2
16107,Quillón,16,Ñuble,2
16201,Quirihue,16,Ñuble,3
16206,Ránquil,16,Ñuble,2
16301,San Carlos,16,Ñuble,2
16304,San Fabián,16,Ñuble,2
16108,San Ignacio,16,Ñuble,2
16305,San Nicolás,16,Ñuble,2
16207,Treguaco,16,Ñuble,2
16109,Yungay,16,Ñuble,2
8314,Alto Biobío,8,Biobío,1
8302,Antuco,8,Biobío,3
8202,Arauco,8,Biobío,2
8303,Cabrero,8,Biobío,2
8203,Cañete,8,Biobío,1
8103,Chiguayante,8,Biobío,2
8101,Concepción,8,Biobío,2
8204,Contulmo,8,Biobío,3
8102,Coronel,8,Biobío,2
8205,Curanilahue,8,Biobío,1
8104,Florida,8,Biobío,2
8112,Hualpén,8,Biobío,2
8105,Hualqui,8,Biobío,2
8304,Laja,8,Biobío,2
8201,Lebu,8,Biobío,1
8206,Los Álamos,8,Biobío,1
8301,Los Ángeles,8,Biobío,1
8106,Lota,8,Biobío,2
8305,Mulchén,8,Biobío,2
8306,Nacimiento,8,Biobío,2
8307,Negrete,8,Biobío,2
8107,Penco,8,Biobío,2
8308,Quilaco,8,Biobío,2
8309,Quilleco,8,Biobío,3
8108,San Pedro de la Paz,8,Biobío,2
8310,San Rosendo,8,Biobío,3
8311,Santa Bárbara,8,Biobío,2
8109,Santa Juana,8,Biobío,2
8110,Talcahuano,8,Biobío,2
8207,Tirúa,8,Biobío,1
8111,Tomé,8,Biobío,2
8312,Tucapel,8,Biobío,2
8313,Yumbel,8,Biobío,1
9201,Angol,9,Araucanía,3
9102,Carahue,9,Araucanía,1
9121,Cholchol,9,Araucanía,2
9202,Collipulli,9,Araucanía,1
9103,Cunco,9,Araucanía,2
9203,Curacautín,9,Araucanía,2
9104,Curarrehue,9,Araucanía,2
9204,Ercilla,9,Araucanía,2
9105,Freire,9,Araucanía,1
9106,Galvarino,9,Araucanía,2
9107,Gorbea,9,Araucanía,1
9108,Lautaro,9,Araucanía,2
9109,Loncoche,9,Araucanía,2
9205,Lonquimay,9,Araucanía,1
9206,Los Sauces,9,Araucanía,1
9207,Lumaco,9,Araucanía,3
9110,Melipeuco,9,Araucanía,2
9111,Nueva Imperial,9,Araucanía,2
9112,Padre Las Casas,9,Araucanía,2
9113,Perquenco,9,Araucanía,2
9114,Pitrufquén,9,Araucanía,2
9115,Pucón,9,Araucanía,1
9208,Purén,9,Araucanía,3
9209,Renaico,9,Araucanía,3
9116,Saavedra,9,Araucanía,1
9101,Temuco,9,Araucanía,2
9117,Teodoro Schmidt,9,Araucanía,1
9118,Toltén,9,Araucanía,1
9210,Traiguén,9,Araucanía,2
9211,Victoria,9,Araucanía,3
9119,Vilcún,9,Araucanía,2
9120,Villarrica,9,Araucanía,1
14102,Corral,14,Los Ríos,2
14202,Futrono,14,Los Ríos,1
14201,La Unión,14,Los Ríos,2
14203,Lago Ranco,14,Los Ríos,2
14103,Lanco,14,Los Ríos,1
14104,Los Lagos,14,Los Ríos,1
14105,Máfil,14,Los Ríos,2
14106,Mariquina,14,Los Ríos,2
14107,Paillaco,14,Los Ríos,1
14108,Panguipulli,14,Los Ríos,1
14204,Río Bueno,14,Los Ríos,2
14101,Valdivia,14,Los Ríos,2
10202,Ancud,10,Los Lagos,2
10102,Calbuco,10,Los Lagos,1
10201,Castro,10,Los Lagos,1
10401,Chaitén,10,Los Lagos,3
10203,Chonchi,10,Los Lagos,2
10103,Cochamó,10,Los Lagos,2
10204,Curaco de Vélez,10,Los Lagos,2
10205,Dalcahue,10,Los Lagos,1
10104,Fresia,10,Los Lagos,2
10105,Frutillar,10,Los Lagos,2
10402,Futaleufú,10,Los Lagos,4
10403,Hualaihué,10,Los Lagos,3
10107,Llanquihue,10,Los Lagos,2
10106,Los Muermos,10,Los Lagos,3
10108,Maullín,10,Los Lagos,3
10301,Osorno,10,Los Lagos,2
10404,Palena,10,Los Lagos,4
10101,Puerto Montt,10,Los Lagos,2
10302,Puerto Octay,10,Los Lagos,2
10109,Puerto Varas,10,Los Lagos,2
10206,Puqueldón,10,Los Lagos,2
10303,Purranque,10,Los Lagos,2
10304,Puyehue,10,Los Lagos,2
10207,Queilén,10,Los Lagos,2
10208,Quellón,10,Los Lagos,2
10209,Quemchi,10,Los Lagos,2
10210,Quinchao,10,Los Lagos,2
10305,Río Negro,10,Los Lagos,1
10306,San Juan de la Costa,10,Los Lagos,1
10307,San Pablo,10,Los Lagos,2
11201,Aisén,11,Aysén,1
11201,Aisén,11,Aysén,2
11401,Chile Chico,11,Aysén,1
11202,Cisnes,11,Aysén,2
11202,Cisnes,11,Aysén,1
11301,Cochrane,11,Aysén,2
11101,Coyhaique,11,Aysén,1
11203,Guaitecas,11,Aysén,4
11102,Lago Verde,11,Aysén,3
11302,O'Higgins,11,Aysén,4
11402,Río Ibáñez,11,Aysén,2
11303,Tortel,11,Aysén,3
12202,Antártica,12,Magallanes,3
12201,Cabo de Hornos,12,Magallanes,4
12102,Laguna Blanca,12,Magallanes,4
12401,Natales,12,Magallanes,2
12301,Porvenir,12,Magallanes,2
12302,Primavera,12,Magallanes,4
12101,Punta Arenas,12,Magallanes,3
12103,Río Verde,12,Magallanes,4
12104,San Gregorio,12,Magallanes,4
12303,Timaukel,12,Magallanes,4
12402,Torres del Paine,12,Magallanes,4
